 11 SolverType.BT           81    0.0015 [9, 6, 2, 3, 4, 1, 7, 5, 8, 1, 4, 8, 9, 7, 5, 6, 2, 3, 5, 7, 3, 2, 6, 8, 1, 4, 9, 3, 2, 1, 6, 9, 4, 8, 7, 5, 4, 8, 7, 5, 1, 2, 9, 3, 6, 6, 9, 5, 8, 3, 7, 4, 1, 2, 8, 3, 4, 7, 2, 6, 5, 9, 1, 2, 1, 6, 4, 5, 9, 3, 8, 7, 7, 5, 9, 1, 8, 3, 2, 6, 4]
 12 SolverType.BT         4221    0.1149 [3, 9, 7, 6, 8, 1, 5, 2, 4, 6, 4, 5, 2, 7, 9, 8, 1, 3, 2, 1, 8, 5, 3, 4, 9, 7, 6, 8, 2, 3, 9, 5, 6, 7, 4, 1, 1, 6, 9, 7, 4, 2, 3, 5, 8, 7, 5, 4, 3, 1, 8, 6, 9, 2, 4, 7, 2, 8, 9, 3, 1, 6, 5, 5, 3, 1, 4, 6, 7, 2, 8, 9, 9, 8, 6, 1, 2, 5, 4, 3, 7]
 13 SolverType.BT       102254    4.7938 [6, 3, 9, 2, 1, 8, 4, 5, 7, 4, 7, 1, 5, 3, 9, 2, 6, 8, 8, 2, 5, 6, 7, 4, 1, 3, 9, 5, 6, 4, 8, 2, 3, 7, 9, 1, 7, 9, 3, 4, 5, 1, 8, 2, 6, 2, 1, 8, 7, 9, 6, 3, 4, 5, 3, 5, 2, 9, 8, 7, 6, 1, 4, 1, 8, 6, 3, 4, 5, 9, 7, 2, 9, 4, 7, 1, 6, 2, 5, 8, 3]
 14 SolverType.BT          637    0.0191 [6, 9, 7, 1, 2, 8, 3, 4, 5, 4, 2, 8, 6, 3, 5, 1, 9, 7, 3, 1, 5, 4, 7, 9, 6, 8, 2, 5, 3, 1, 2, 4, 6, 9, 7, 8, 2, 8, 6, 3, 9, 7, 4, 5, 1, 9, 7, 4, 5, 8, 1, 2, 6, 3, 1, 4, 9, 8, 5, 2, 7, 3, 6, 7, 5, 2, 9, 6, 3, 8, 1, 4, 8, 6, 3, 7, 1, 4, 5, 2, 9]
 15 SolverType.BT           81    0.0015 [3, 6, 1, 7, 2, 5, 9, 4, 8, 5, 8, 7, 9, 6, 4, 2, 1, 3, 4, 9, 2, 8, 3, 1, 6, 5, 7, 6, 3, 8, 2, 5, 9, 4, 7, 1, 1, 7, 4, 6, 8, 3, 5, 9, 2, 2, 5, 9, 1, 4, 7, 8, 3, 6, 7, 4, 6, 3, 9, 2, 1, 8, 5, 9, 2, 3, 5, 1, 8, 7, 6, 4, 8, 1, 5, 4, 7, 6, 3, 2, 9]
 16 SolverType.BT           81    0.0021 [3, 5, 9, 8, 6, 7, 1, 2, 4, 6, 4, 8, 3, 1, 2, 5, 9, 7, 7, 1, 2, 5, 4, 9, 8, 3, 6, 8, 7, 6, 9, 2, 4, 3, 5, 1, 5, 2, 4, 7, 3, 1, 9, 6, 8, 1, 9, 3, 6, 8, 5, 4, 7, 2, 9, 3, 1, 4, 7, 6, 2, 8, 5, 4, 6, 5, 2, 9, 8, 7, 1, 3, 2, 8, 7, 1, 5, 3, 6, 4, 9]
 17 SolverType.BT         1476    0.0277 [7, 8, 6, 9, 4, 5, 3, 1, 2, 2, 1, 9, 8, 6, 3, 4, 5, 7, 5, 3, 4, 2, 7, 1, 8, 6, 9, 1, 6, 5, 4, 8, 2, 9, 7, 3, 3, 2, 7, 6, 1, 9, 5, 4, 8, 4, 9, 8, 5, 3, 7, 1, 2, 6, 9, 5, 1, 7, 2, 8, 6, 3, 4, 8, 4, 2, 3, 5, 6, 7, 9, 1, 6, 7, 3, 1, 9, 4, 2, 8, 5]
 18 SolverType.BT           81    0.0020 [7, 4, 3, 5, 1, 2, 9, 8, 6, 5, 8, 9, 3, 4, 6, 2, 1, 7, 1, 2, 6, 9, 8, 7, 3, 4, 5, 9, 3, 4, 2, 5, 1, 7, 6, 8, 6, 7, 1, 4, 9, 8, 5, 3, 2, 8, 5, 2, 7, 6, 3, 4, 9, 1, 3, 9, 8, 6, 7, 5, 1, 2, 4, 4, 1, 7, 8, 2, 9, 6, 5, 3, 2, 6, 5, 1, 3, 4, 8, 7, 9]
 19 SolverType.BT           81    0.0016 [7, 8, 2, 6, 1, 4, 3, 5, 9, 4, 3, 9, 8, 2, 5, 1, 7, 6, 6, 5, 1, 9, 3, 7, 4, 2, 8, 2, 9, 3, 4, 7, 1, 8, 6, 5, 5, 6, 8, 3, 9, 2, 7, 1, 4, 1, 4, 7, 5, 6, 8, 2, 9, 3, 3, 2, 6, 7, 4, 9, 5, 8, 1, 9, 7, 5, 1, 8, 3, 6, 4, 2, 8, 1, 4, 2, 5, 6, 9, 3, 7]
 20 SolverType.BT         1738    0.0479 [4, 2, 8, 5, 3, 1, 7, 9, 6, 3, 6, 5, 9, 4, 7, 1, 8, 2, 9, 7, 1, 2, 6, 8, 4, 3, 5, 2, 1, 4, 8, 9, 6, 5, 7, 3, 6, 9, 7, 4, 5, 3, 2, 1, 8, 5, 8, 3, 1, 7, 2, 9, 6, 4, 8, 4, 9, 6, 1, 5, 3, 2, 7, 7, 5, 2, 3, 8, 9, 6, 4, 1, 1, 3, 6, 7, 2, 4, 8, 5, 9]
